year,value
1990,1.96
1991,2.87
1992,4.07
1993,5.1
1994,5.86
1995,7.45
1996,9.32
1997,11.12
1998,12.69
1999,11.96
2000,13.05
2001,13.81
2002,16.85
2003,16.55
2004,15.89
2005,15.5
2006,14.48
2007,13.93
2008,14.24
